Departamento y distrito;Total de hogares;Hogares con Necesidades Basicas Insatisfechas (NBI) - % Al menos una NBI;Hogares con Necesidades Basicas Insatisfechas (NBI) - % de NBI en Calidad de la vivienda;Hogares con Necesidades Basicas Insatisfechas (NBI) - % de NBI en Infraestructura sanitaria;Hogares con Necesidades Basicas Insatisfechas (NBI) - % de NBI en Acceso a la educacion;Hogares con Necesidades Basicas Insatisfechas (NBI) - % de NBI en Capacidad de subsistencia
          Dr. J. Eulogio Estigarribia;10.264;30,5;7,4;7,1;15,9;10
          R.I. 3 Corrales;1.825;35,7;8,7;10,2;15,5;10,6
          Raul Arsenio Oviedo;3.593;35,5;9,7;13,4;15,3;13,6
          Jose Domingo Ocampos;2.174;34,8;5;14,5;13,4;10,9
          Mariscal Francisco Solano Lopez;1.559;41,2;9;15,3;19,6;11
          La Pastora;1.017;26,1;4,8;3,2;11,4;11,7
          3 de Febrero;2.277;30,8;5;11,6;13,4;7
          Simon Bolivar;1.453;31,2;5,8;8,5;12,2;10,8
          Vaqueria;3.075;42,4;9,4;20,9;15,7;11,3
          Tembiapora;3.513;38,9;7,9;22,1;11;7,9
          Nueva Toledo;1.361;39,7;19;12,9;23,8;14,4
     Departamento Caazapa;43.405;36,1;7;15,1;15,6;11,3
          Caazapa;7.816;24,2;4;4,6;9,8;9,5
          Abai;6.612;42,1;10,4;20,8;19,1;13,2
          Buena Vista;1.366;35,3;6,2;14,4;16,3;8,3
          Dr. Moises S. Bertoni;1.095;40,6;11;11,1;17,1;16,5
          Gral. Higinio Morinigo;1.534;34,4;6;12;12,4;12,7
          Maciel;1.115;26,1;7,4;3,7;11,1;9,9
          San Juan Nepomuceno;8.689;35,2;5,3;14,9;14,2;11
          Tavai;4.935;49,2;11,7;30,3;21,7;13,8
          Yegros;1.692;25,9;4,6;4,6;14,8;9,1
          Yuty;4.783;36,5;6,3;14,6;15,4;11
          3 de Mayo;3.768;41,6;6,4;18,7;19,9;9,7
     Departamento Itapua;141.148;28,7;4,4;9,8;12,7;9
          Encarnacion;33.847;22;3,7;5;8,3;8,2
          Bella Vista;3.377;26,4;3,8;7,2;13,1;8,1
          Cambyreta;14.001;24,5;4,9;6,4;10,9;6,6
          Capitan Meza;2.948;26,7;3,4;9,3;13,9;6,1
          Capitan Miranda;3.056;20,7;3,2;4,7;9,7;6,3
          Nueva Alborada;1.513;27,8;4,2;7,9;11,7;7,3
          Carmen del Parana;2.029;28,3;3,5;7,4;11,5;12
          Coronel Bogado;5.680;25,7;3,6;6,5;10,9;9,9
          Carlos Antonio Lopez;4.168;37,6;6,3;18,7;16,8;10,4
          Natalio;4.697;36,1;3,6;15,5;16,2;10
          Fram;2.632;23,3;4,5;6,8;9,3;6,6
          General Artigas;2.874;30,4;3,2;7,9;14,4;12,3
          General Delgado;1.934;23,7;3,4;2,8;10,7;9,6
          Hohenau;4.276;19,5;3,3;4,5;8;6,8
          Jesus;1.692;39,9;3,9;21,9;16,1;11
          Jose Leandro Oviedo;853;35,8;3,3;13,8;14,7;10,8
          Obligado;4.340;26,1;3,9;8,7;12,2;7,9
          Mayor Julio Dionisio Otano;3.024;46,3;6,7;29;17,5;11,1
          San Cosme y Damian;2.343;37,8;5,8;13,1;16,9;12,6
          San Pedro del Parana;7.213;41,6;4,5;15,3;21;13,8
          San Rafael del Parana;4.349;35,4;4,9;16,7;15,1;9,6
          Trinidad;2.494;32,1;6,9;11,3;14,7;9,9
          Edelira;5.461;31,7;3,5;12,1;15,1;8,5
          Tomas Romero Pereira;7.911;30,1;4,4;11,2;12,8;8,8
          Alto Vera;3.414;47,6;9,9;24,4;23,2;12
          La Paz;834;22,9;5,2;6;10,6;5,5
          Yatytay;2.804;31,6;2,9;11,2;14,9;9,6
          San Juan del Parana;2.809;27,4;4,8;6,8;12,3;9,7
          Pirapo;1.807;36,2;8,2;17,5;18,8;10,9
          Itapua Poty;2.768;33,1;5,9;12,6;18,4;9,8
     Departamento Misiones;34.516;26,1;4,2;6,1;11,5;9,2
          San Juan Bautista de las Misiones;5.942;19,8;3,5;3,5;7,7;7,9
          Ayolas;5.260;25,2;5;8,9;8,9;7
          San Ignacio;9.059;26,2;5;6;12;8,1
          San Miguel;1.688;33;4,9;3,6;15,9;14,4
          San Patricio;1.106;36,2;3,4;9,6;16,5;15,6
          Santa Maria;2.469;27,1;3,7;5,2;13;10
          Santa Rosa;5.348;27,4;3,4;6;13,4;9,9
          Santiago;1.936;26,3;3,7;4,3;12,6;11,2
          Villa Florida;953;23;3,4;4;9,3;9,7
          Yabebyry;755;40,4;3,4;20,1;15,6;12,5
     Departamento Paraguari;62.336;29,3;5,5;8,6;10,7;10,9
          Paraguari;6.025;22,2;4,9;4,6;7,4;8,7
          Acahay;4.061;34,2;6,3;8,2;12,8;15,4
          Caapucu;1.936;51,1;4,4;34,9;10,9;15,8
          Caballero;1.593;34,3;5,8;12,1;11;13
          Carapegua;9.410;23,5;3,6;5;10,7;7,7
          Escobar;1.533;36,3;6,1;8,3;12,1;19
          La Colmena;1.656;28,3;4;10;11,3;9,7
          Mbuyapey;2.174;38;7,4;12,7;13,3;15,5
          Pirayu;5.089;27,8;6,6;8,8;9,5;8,6
          Quiindy;4.783;31,9;4,2;9,2;12,3;13,2
          Quyquyho;1.590;32,7;4,1;7,4;14,3;12,8
          Roque Gonzalez de Santa Cruz;3.084;29,1;4,8;6,2;12,3;11,2
          Sapucai;1.699;37,1;5;14,8;14,9;12,9
          Tebicuary-mi;985;26,5;6,3;6;11,9;9,2
          Yaguaron;8.455;26,9;6,9;7,8;8,5;9,7
          Ybycui;5.593;29;6,6;7,2;10,2;11,6
          Ybytymi;1.781;31,9;6,1;13,1;10,7;9,8
          Maria Antonia;889;26,8;6,3;6,9;12,9;6,6
     Departamento Alto Parana;219.459;29,4;5,5;12,5;10,8;7,9
          Ciudad del Este;92.427;27;5,1;10,2;9,1;7,8
          Presidente Franco;24.240;30,4;6,5;13,4;10,1;7,5
          Domingo Martinez de Irala;1.452;39,1;4,9;19,6;17,3;9,4
          Dr. Juan Leon Mallorquin;4.599;36,2;5,7;17,6;11,8;11,4
          Hernandarias;23.389;28,8;5,5;12,7;10,6;6,8
          Itakyry;7.946;50,3;11;30,4;19,5;16,9
          Juan E. OLeary;4.781;37,7;5,2;18,1;12,8;10,1
          Nacunday;1.820;40,4;8,7;22,1;15,4;9,3
          Yguazu;2.429;30;6,4;12,6;15;8,6
          Los Cedrales;2.140;34;5,3;12,1;16,9;8,6
          Minga Guazu;22.820;29,2;6,3;12;10,7;6,7
          San Cristobal;2.669;29,7;3,4;16,3;11,5;5,4
